house_id,territory_id,living_area,geometry
124998,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1968491, 59.4839032], [34.1968396, 59.4838543], [34.197009, 59.4838458], [34.1970185, 59.4838947], [34.1968491, 59.4839032]]]}"
124999,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1942374, 59.4818041], [34.1942257, 59.4817484], [34.1943637, 59.4817409], [34.1943754, 59.4817966], [34.1942374, 59.4818041]]]}"
125014,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1996403, 59.4869738], [34.1997505, 59.4869681], [34.1997606, 59.4870183], [34.1996505, 59.4870241], [34.1996403, 59.4869738]]]}"
125044,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1975944, 59.4832727], [34.1975827, 59.483217], [34.1977207, 59.4832096], [34.1977324, 59.4832653], [34.1975944, 59.4832727]]]}"
125050,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1951807, 59.4810189], [34.1951418, 59.4809665], [34.1952716, 59.4809416], [34.1953106, 59.480994], [34.1951807, 59.4810189]]]}"
125150,286,50,"{'type': 'Polygon', 'coordinates': [[[34.19662, 59.4844259], [34.1966083, 59.4843702], [34.1967463, 59.4843628], [34.196758, 59.4844185], [34.19662, 59.4844259]]]}"
125156,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1998141, 59.4871458], [34.1999196, 59.4871287], [34.1999499, 59.4871768], [34.1998445, 59.487194], [34.1998141, 59.4871458]]]}"
125171,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1994008, 59.4876055], [34.199511, 59.4875997], [34.1995211, 59.48765], [34.199411, 59.4876557], [34.1994008, 59.4876055]]]}"
125172,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1969235, 59.4841554], [34.1969936, 59.4841516], [34.1970114, 59.4842382], [34.1969414, 59.4842419], [34.1969235, 59.4841554]]]}"
125194,286,50,"{'type': 'Polygon', 'coordinates': [[[34.194407, 59.4820778], [34.1943953, 59.4820221], [34.1945333, 59.4820147], [34.194545, 59.4820704], [34.194407, 59.4820778]]]}"
125218,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1966603, 59.4846171], [34.1966503, 59.4845691], [34.1967865, 59.4845618], [34.1967965, 59.4846098], [34.1966603, 59.4846171]]]}"
125237,286,50,"{'type': 'Polygon', 'coordinates': [[[34.198077, 59.4832544], [34.1980654, 59.4831987], [34.1982034, 59.4831912], [34.1982151, 59.483247], [34.198077, 59.4832544]]]}"
125261,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1969778, 59.4844059], [34.1969742, 59.4843804], [34.1970389, 59.4843781], [34.1970356, 59.4843544], [34.1971088, 59.4843517], [34.1971158, 59.4844009], [34.1969778, 59.4844059]]]}"
125332,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1969962, 59.4845914], [34.1969895, 59.4845513], [34.1971261, 59.4845455], [34.1971327, 59.4845855], [34.1969962, 59.4845914]]]}"
125359,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1967255, 59.4849769], [34.1967138, 59.4849211], [34.1968518, 59.4849137], [34.1968635, 59.4849694], [34.1967255, 59.4849769]]]}"
125402,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1971524, 59.4848243], [34.1970424, 59.4848285], [34.1970319, 59.4847582], [34.1971419, 59.484754], [34.1971524, 59.4848243]]]}"
125408,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1950899, 59.4819209], [34.1950783, 59.4818652], [34.1952163, 59.4818577], [34.195228, 59.4819135], [34.1950899, 59.4819209]]]}"
125416,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1963167, 59.48073], [34.1962788, 59.4806774], [34.1964091, 59.4806532], [34.196447, 59.4807058], [34.1963167, 59.48073]]]}"
125432,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1997644, 59.4876897], [34.1998746, 59.487684], [34.1998847, 59.4877342], [34.1997746, 59.4877399], [34.1997644, 59.4876897]]]}"
